URL | Target kw | Fight type | Cannibal flag | Clicks | Impr
---
/ | alan ranger photography | AI Overview present |  | 0 | 0
/batsford-arboretum-photography | batsford arboretum photography | Not tracked |  | 0 | 0
/beginners-photography-classes | beginner photography classes | AI Overview present | Google prefers: /free-online-photography-course | 0 | 0
/beginners-portrait-photography-course | portrait photography course | Not tracked |  | 0 | 0
/bluebell-woods-near-me | bluebell woods near me | Not tracked |  | 0 | 0
/corporate-photography-training | corporate photography training | AI Overview present |  | 0 | 0
/free-online-photography-course | free online photography course | AI Overview present |  | 0 | 0
/hire-a-professional-photographer-in-coventry | hire a professional photographer coventry | AI Overview present |  | 0 | 0
/jaguar-land-rover-els | Jaguar Land Rover | Not tracked |  | 0 | 0
/landscape-photography-workshops | landscape photography workshop | AI Overview present |  | 0 | 0
/photo-editing-course-coventry | lightroom editing course | AI Overview present | Google prefers: /beginners-photography-lessons/lightroom-photo-editing-classes-wk1-rrkhn | 0 | 0
/photography-courses-coventry | photography courses coventry | AI Overview present |  | 0 | 0
/photography-gift-vouchers | photography gift voucher | AI Overview present | Google prefers: /blog-on-photography/photography-gift-vouchers-ideas | 0 | 0
/photography-lessons-online-121 | photography lessons online | AI Overview present |  | 0 | 0
/photography-mentoring-online-assignments | (cleared) | — | CANNIBAL-CANDIDATE → /rps-courses-mentoring-distinctions | 0 | 0
/photography-special-offers | Photography Special Offers | Not tracked |  | 0 | 0
/photography-tuition-services | (cleared) | — | CANNIBAL-CANDIDATE → /private-photography-lessons | 0 | 0
/photography-workshops | photography workshops | AI Overview present | Google prefers: /landscape-photography-workshops | 0 | 0
/photography-workshops-near-me | photography holidays uk | AI Overview present | Google prefers: /photography-workshops | 0 | 0
/private-photography-lessons | private photography lessons | AI Overview present | Google prefers: /photography-courses-coventry | 0 | 0
/professional-commercial-photographer-coventry | commercial photographer | AI Overview present |  | 0 | 0
/professional-photographer-near-me | Professional Headshots | AI Overview present |  | 0 | 0
/property-photographer-coventry | property photographer coventry | Not tracked |  | 0 | 0
/rps-courses-mentoring-distinctions | rps courses | AI Overview present |  | 0 | 0
