"Hash","Message","Found","Matches"
"c8965e6","Fix Portfolio chart: Use date_end for weekly bucketing","False","0"
"3635c6a","Fix Portfolio chart: Include Jan 2025 in monthly view","False","0"
"dda9abe","Fix Portfolio chart: Restore monthly default","False","0"
"af7009b","Fix Portfolio chart: Filter to last 12 months only","False","0"
"1440ad3","Fix Portfolio chart: Default time grain to monthly","True","12"
"a7f7261","Fix: Remove duplicate activeStatuses declaration","True","12"
"a9621e0","Fix: Show 'Being Optimised' for all active task statuses","True","12"
"1104ec9","Fix: Re-render Suggested Top 10 cards after task creation","True","12"
"01f9d69","Update Money Pages Performance doc: Add Phase 4 completion status","True","12"
"25dc72e","Update documentation: Add Phase 4 Suggested Top 10 feature","True","12"
"e6eedfc","Fix optimization status check, make URLs clickable","True","12"
"0bf6279","Refine Suggested Top 10 cards","True","12"
"da43bf0","Add Suggested Top 10 section if it's missing","True","12"
"7d735c5","Use requestAnimationFrame to ensure DOM is updated","True","12"
"417576a","Add max retry limit and increase initial delay","True","12"
"bb9d186","Add retry loop to wait for container to be rendered","True","12"
"0fa2bd6","Add retry mechanism when container not found","True","12"
"b3875f9","Move helper functions to top of script","True","12"
"cf6da60","Replace stub with full implementation","True","12"
"8e7ea58","Define stub function at script start","True","12"
"5d1ef48","Initialize function at script start","True","12"
"c13e959","Remove IIFE wrapper - define function at top level","True","12"
"55bf400","Wrap function definition in IIFE","False","0"
"059b299","Fix: Check window.renderMoneyPagesSuggestedTop10","True","12"
"9fa74fa","Add debug logging to track function definition","True","12"
"680fb73","Add debug logging to verify function is defined","True","12"
"3886df9","Fix: Clean up function definition","True","12"
"83e3e64","Fix: Use window.renderMoneyPagesSuggestedTop10","True","12"
"7c6096b","Fix: Make renderMoneyPagesSuggestedTop10 globally accessible","True","12"
"fc79654","Fix: Use moneyPagePriorityData as data source for Suggested Top 10","True","12"
"a259b59","Fix: Add error handling for Suggested Top 10 table rendering","True","12"
"4954504","Phase 4 Step 1: Add Suggested (Top 10) priority pages table","True","11"
